"ID","성별","학교지역","부최종학력","모최종학력","부종사상지위","모종사상지위","연간소득","보호자건강","키","몸무게","건강상태","성적만족도","가출유무","가족구성","다문화가정여부","형제자매유무","전학경험유무","가족여행","damage","sleep","방임","학대","학습","교우","교사","사회성","가족연락","친구연락","휴대전화의존도","가출친구","교내동아리","교외동아리","비행친구수","체험활동","age"
14210,"2","10","2","1","1","0",9000,"2",162,43,"4","2","1","1","2","1","2",2,0,6,2,3,2.33333333333333,1.66666666666667,2,2,1,1,2,0,"1","2",0,1,16
14323,"1","10","2","2","2","3",16000,"1",170,67,"1","3","1","1","2","2","2",3,0,6,1.33333333333333,3.33333333333333,1.66666666666667,1.33333333333333,2,3.33333333333333,2.5,1.5,3,5,"1","2",6.66666666666667,4,18
14325,"1","10","2","2","1","1",2500,"3",170,68,"1","2","1","1","2","2","1",3,0,5,1.66666666666667,2.33333333333333,2.33333333333333,1,1,2.33333333333333,1,1,2.66666666666667,4,"1","1",6.66666666666667,3,19
14327,"1","10","1","1","2","4",5500,"1",175,72,"1","2","1","1","2","1","2",2,0,7,3,3,3,1.66666666666667,2.66666666666667,2,2,1,1.33333333333333,0,"2","2",2,2,16
14413,"1","10","3","2","1","0",10000,"2",172,67,"2","2","1","1","2","1","2",5,0,7,1.33333333333333,3.66666666666667,2,2,2,1.66666666666667,2,2,2.66666666666667,0,"1","2",1,2,16
14521,"2","10","2","2","1","1",5000,"2",158,49,"3","4","1","4","2","1","2",0,0,8,1,2,3,1.66666666666667,2,2.33333333333333,2,1,1,7,"1","2",4.66666666666667,1,16
14601,"1","10","2","2","3","3",5000,"2",177,54,"2","2","1","1","2","1","2",1,0,6,2.33333333333333,3.33333333333333,2,2,2,2.66666666666667,1.5,2.5,2.66666666666667,0,"2","2",1,0,18
14609,"1","10","2","2","1","1",7000,"2",171,58,"2","3","1","1","2","1","2",0,0,6,2.66666666666667,3.66666666666667,3,2,2.33333333333333,3.33333333333333,1.5,2,3,0,"1","2",4.33333333333333,0,17
14721,"2","10","2","2","1","1",10000,"2",167,62,"1","4","1","1","2","1","2",0,0,7,3,1.33333333333333,3,1,2,3.33333333333333,4,2,1,0,"1","2",0,0,17
14722,"2","10","2","1","2","1",5000,"2",151,49,"2","4","1","1","2","1","2",2,0,5,2,4,2.66666666666667,2,2.33333333333333,2.33333333333333,1.5,1,2.66666666666667,1,"2","2",2,4,16
14808,"2","10","1","1","1","1",1000,"2",164.5,43,"3","3","1","1","2","1","2",0,0,7,2,2,2.33333333333333,1,1,3.33333333333333,2,1,2.66666666666667,0,"1","2",0,2,16
14817,"2","10","1","1","1","3",1500,"2",157,60,"2","2","1","1","2","1","2",5,0,7,2.33333333333333,1.66666666666667,2.33333333333333,1,2.66666666666667,4,2,1,2,0,"1","2",0,3,16
14942,"1","10","2","2","1","0",4000,"2",169,52,"2","3","1","1","2","1","2",1,0,8,2,3,2,2,2,2.33333333333333,2.5,2,4,1,"2","2",0.666666666666667,1,16
23801,"1","20","2","2","0","0",720,"1",169,60,"1","2","1","2","2","1","2",3,0,8,2,2.33333333333333,2,1.33333333333333,2,3,2,1,2.33333333333333,0,"1","2",0,0,15
23806,"1","20","2","2","1","1",4000,"1",169,54,"1","3","1","1","2","1","2",4,0,8,1,2,2,2,2.33333333333333,1,1.5,1,2.33333333333333,0,"2","2",0,0,15
23810,"1","20","1","1","0","0",960,"2",172,72,"3","3","1","5","2","1","2",1,0,5,2.33333333333333,2,2.66666666666667,2.33333333333333,2.66666666666667,2,1.5,1,2,3,"2","2",1,0,16
23901,"1","20","1","1","1","0",5500,"2",171,58,"2","2","1","1","2","1","2",0,0,7,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.33333333333333,3,2,2,4,"2","2",4.33333333333333,0,19
23917,"2","20","1","1","1","0",2000,"1",159,60,"1","2","1","2","2","2","1",0,0,8,1,4,2.66666666666667,2.33333333333333,3.33333333333333,2.33333333333333,2,1,2.66666666666667,0,"2","2",2,1,15
23925,"1","20","1","1","2","4",3500,"2",173.8,64,"1","4","1","1","2","1","2",0,0,8,1,2,1,2,1,1.66666666666667,4,1,4,0,"2","2",0,1,15
24004,"2","20","1","1","1","1",4500,"2",156,58,"3","3","1","1","2","1","2",0,0,7,1.66666666666667,2,2.66666666666667,2.33333333333333,2,2.66666666666667,2,1.5,2.66666666666667,0,"2","1",0,1,15
24026,"2","20","1","1","1","1",4500,"2",161,50,"3","4","1","1","2","1","2",0,0,8,1.33333333333333,1,4,2,3.33333333333333,4,1,1,2.33333333333333,0,"2","2",14,0,16
24118,"1","20","1","1","1","0",1800,"2",165,81,"1","3","1","1","2","1","2",0,0,9,1.66666666666667,3,2,2,2,2.66666666666667,1,1,1,0,"2","2",0,3,18
32901,"2","21","2","2","2","1",7000,"2",172,60,"1","2","1","1","2","1","2",0,2,6,1,1,2,2,2,2,1,1,2.66666666666667,0,"2","2",0,3,16
